feature_set,xi,tau,n_clusters,n_noise,coverage,runtime_sec,silhouette,davies_bouldin,calinski_harabasz,quality_score
frequency|monetary|avg_basket|return_rate|weekend_ratio,16,0.06,18,34,0.989,0.18,-0.0023,1.8814,265.6,-0.35556200000000004
frequency|monetary|avg_basket|return_rate|weekend_ratio,16,0.08,14,81,0.974,0.09,-0.0416,2.1166,249.1,-0.31742800000000004
frequency|monetary|avg_basket|return_rate|weekend_ratio,16,0.1,12,191,0.938,0.01,0.0329,2.9101,314.4,-0.265408
frequency|monetary|avg_basket|return_rate|weekend_ratio,16,0.12,9,355,0.885,0.01,0.1227,1.7942,499.7,-0.04958599999999999
frequency|monetary|avg_basket|return_rate|weekend_ratio,16,0.14,8,541,0.825,0.03,0.1232,1.7815,526.8,-0.06307000000000001
frequency|monetary|avg_basket|return_rate|weekend_ratio,16,0.16,7,707,0.772,0.0,0.1232,1.423,509.9,-0.04764
frequency|monetary|avg_basket|return_rate|weekend_ratio,16,0.18,7,707,0.772,0.0,0.1232,1.423,509.9,-0.04764
frequency|monetary|avg_basket|return_rate|weekend_ratio,16,0.2,6,707,0.772,0.0,0.2264,1.3427,556.0,0.061984
recency|frequency|monetary|return_rate|weekend_ratio,8,0.06,29,1,1.0,0.14,-0.1265,2.3407,154.5,-0.788756
recency|frequency|monetary|return_rate|weekend_ratio,8,0.08,26,2,0.999,0.14,-0.1282,2.1754,145.2,-0.7024819999999999
recency|frequency|monetary|return_rate|weekend_ratio,8,0.1,25,15,0.995,0.05,-0.091,2.2671,186.3,-0.6486179999999999
recency|frequency|monetary|return_rate|weekend_ratio,8,0.12,25,47,0.985,0.04,-0.0943,2.4749,179.7,-0.6710419999999999
recency|frequency|monetary|return_rate|weekend_ratio,8,0.14,21,92,0.97,0.02,-0.0516,2.513,191.8,-0.53514
recency|frequency|monetary|return_rate|weekend_ratio,8,0.16,17,111,0.964,0.02,-0.0339,2.2779,222.1,-0.40013200000000004
recency|frequency|monetary|return_rate|weekend_ratio,8,0.18,11,260,0.916,0.01,0.0886,2.3973,343.6,-0.149184
recency|frequency|monetary|return_rate|weekend_ratio,8,0.2,10,260,0.916,0.01,0.0937,2.1701,362.2,-0.100908
recency|frequency|monetary|return_rate|weekend_ratio,10,0.06,28,1,1.0,0.76,-0.0845,2.0884,181.6,-0.701572
recency|frequency|monetary|return_rate|weekend_ratio,10,0.08,24,8,0.997,0.15,-0.0721,2.4268,183.8,-0.616994
recency|frequency|monetary|return_rate|weekend_ratio,10,0.1,25,107,0.965,0.06,-0.0747,2.9473,178.1,-0.694234
